company,bean_origin,bean_origin,review_date,cocoa_percent,company_location,rating,bean_origin,bean_origin
A. Morin,Agua Grande,Sao Tome,2016,63%,France,3.75,Agua Grande,Sao Tome
A. Morin,Kpime,Togo,2015,70%,France,2.75,Kpime,Togo
A. Morin,Atsane,Togo,2015,70%,France,3.0,Atsane,Togo
A. Morin,Akata,Togo,2015,70%,France,3.5,Akata,Togo
A. Morin,Quilla,Peru,2015,70%,France,3.5,Quilla,Peru
A. Morin,Carenero,Venezuela,2014,70%,France,2.75,Carenero,Venezuela
A. Morin,Cuba,Cuba,2014,70%,France,3.5,Cuba,Cuba
A. Morin,Sur del Lago,Venezuela,2014,70%,France,3.5,Sur del Lago,Venezuela
A. Morin,Puerto Cabello,Venezuela,2014,70%,France,3.75,Puerto Cabello,Venezuela
A. Morin,Pablino,Peru,2014,70%,France,4.0,Pablino,Peru
A. Morin,Panama,Panama,2013,70%,France,2.75,Panama,Panama
A. Morin,Madagascar,Madagascar,2013,70%,France,3.0,Madagascar,Madagascar
A. Morin,Brazil,Brazil,2013,70%,France,3.25,Brazil,Brazil
A. Morin,Equateur,Ecuador,2013,70%,France,3.75,Equateur,Ecuador
A. Morin,Colombie,Colombia,2013,70%,France,2.75,Colombie,Colombia
A. Morin,Birmanie,Burma,2013,70%,France,3.0,Birmanie,Burma
A. Morin,Papua New Guinea,Papua New Guinea,2013,70%,France,3.25,Papua New Guinea,Papua New Guinea
A. Morin,Chuao,Venezuela,2013,70%,France,4.0,Chuao,Venezuela
A. Morin,Piura,Peru,2013,70%,France,3.25,Piura,Peru
A. Morin,Chanchamayo Province,Peru,2013,70%,France,3.5,Chanchamayo Province,Peru
A. Morin,Chanchamayo Province,Peru,2013,63%,France,4.0,Chanchamayo Province,Peru
A. Morin,Bolivia,Bolivia,2012,70%,France,3.5,Bolivia,Bolivia
A. Morin,Peru,Peru,2012,63%,France,3.75,Peru,Peru
Acalli,"Chulucanas, El Platanal",Peru,2015,70%,U.S.A.,3.75,"Chulucanas, El Platanal",Peru
Acalli,"Tumbes, Norandino",Peru,2015,70%,U.S.A.,3.75,"Tumbes, Norandino",Peru
Adi,Vanua Levu,Fiji,2011,60%,Fiji,2.75,Vanua Levu,Fiji
Adi,"Vanua Levu, Toto-A",Fiji,2011,80%,Fiji,3.25,"Vanua Levu, Toto-A",Fiji
Adi,Vanua Levu,Fiji,2011,88%,Fiji,3.5,Vanua Levu,Fiji
Adi,"Vanua Levu, Ami-Ami-CA",Fiji,2011,72%,Fiji,3.5,"Vanua Levu, Ami-Ami-CA",Fiji
Aequare (Gianduja),"Los Rios, Quevedo, Arriba",Ecuador,2009,55%,Ecuador,2.75,"Los Rios, Quevedo, Arriba",Ecuador
Aequare (Gianduja),"Los Rios, Quevedo, Arriba",Ecuador,2009,70%,Ecuador,3.0,"Los Rios, Quevedo, Arriba",Ecuador
Ah Cacao,Tabasco,Mexico,2009,70%,Mexico,3.0,Tabasco,Mexico
Akesson's (Pralus),"Bali (west), Sukrama Family, Melaya area",Indonesia,2011,75%,Switzerland,3.75,"Bali (west), Sukrama Family, Melaya area",Indonesia
Akesson's (Pralus),"Madagascar, Ambolikapiky P.",Madagascar,2010,75%,Switzerland,2.75,"Madagascar, Ambolikapiky P.",Madagascar
Akesson's (Pralus),"Monte Alegre, D. Badero",Brazil,2010,75%,Switzerland,2.75,"Monte Alegre, D. Badero",Brazil
Alain Ducasse,Trinite,Trinidad,2014,65%,France,2.75,Trinite,Trinidad
Alain Ducasse,Vietnam,Vietnam,2014,75%,France,2.75,Vietnam,Vietnam
Alain Ducasse,Madagascar,Madagascar,2014,75%,France,3.0,Madagascar,Madagascar
Alain Ducasse,Chuao,Venezuela,2013,75%,France,2.5,Chuao,Venezuela
Alain Ducasse,"Piura, Perou",Peru,2013,75%,France,2.5,"Piura, Perou",Peru
Alexandre,"Winak Coop, Napo",Ecuador,2017,70%,Netherlands,3.5,"Winak Coop, Napo",Ecuador
Alexandre,"La Dalia, Matagalpa",Nicaragua,2017,70%,Netherlands,3.5,"La Dalia, Matagalpa",Nicaragua
Alexandre,Tien Giang,Vietnam,2017,70%,Netherlands,3.5,Tien Giang,Vietnam
Alexandre,"Makwale Village, Kyela",Tanzania,2017,70%,Netherlands,3.5,"Makwale Village, Kyela",Tanzania
Altus aka Cao Artisan,Momotombo,Nicaragua,2016,60%,U.S.A.,2.75,Momotombo,Nicaragua
Altus aka Cao Artisan,Acopagro,Peru,2016,60%,U.S.A.,3.0,Acopagro,Peru
Altus aka Cao Artisan,CIAAB Coop,Bolivia,2016,60%,U.S.A.,2.5,CIAAB Coop,Bolivia
Altus aka Cao Artisan,Villa Andina,Peru,2016,60%,U.S.A.,2.5,Villa Andina,Peru
Altus aka Cao Artisan,Gruppo Salinas,Ecuador,2016,60%,U.S.A.,2.75,Gruppo Salinas,Ecuador
Altus aka Cao Artisan,Sur del Lago,Venezuela,2013,60%,U.S.A.,2.5,Sur del Lago,Venezuela
Altus aka Cao Artisan,Conacado,Dominican Republic,2013,60%,U.S.A.,3.0,Conacado,Dominican Republic
Altus aka Cao Artisan,Bolivia,Bolivia,2013,80%,U.S.A.,3.25,Bolivia,Bolivia
Altus aka Cao Artisan,Bolivia,Bolivia,2013,60%,U.S.A.,3.0,Bolivia,Bolivia
Altus aka Cao Artisan,Peru,Peru,2013,60%,U.S.A.,3.25,Peru,Peru
Amano,Morobe,Papua New Guinea,2011,70%,U.S.A.,4.0,Morobe,Papua New Guinea
Amano,Dos Rios,Dominican Republic,2010,70%,U.S.A.,3.75,Dos Rios,Dominican Republic
Amano,Guayas,Ecuador,2010,70%,U.S.A.,4.0,Guayas,Ecuador
Amano,Chuao,Venezuela,2010,70%,U.S.A.,3.0,Chuao,Venezuela
Amano,Montanya,Venezuela,2009,70%,U.S.A.,3.0,Montanya,Venezuela
Amano,"Bali, Jembrana",Indonesia,2008,70%,U.S.A.,2.75,"Bali, Jembrana",Indonesia
Amano,Madagascar,Madagascar,2007,70%,U.S.A.,3.5,Madagascar,Madagascar
Amano,Cuyagua,Venezuela,2007,70%,U.S.A.,3.0,Cuyagua,Venezuela
Amano,Ocumare,Venezuela,2007,70%,U.S.A.,3.75,Ocumare,Venezuela
Amatller (Simon Coll),Ghana,Ghana,2009,70%,Spain,3.0,Ghana,Ghana
Amatller (Simon Coll),Ecuador,Ecuador,2009,70%,Spain,2.75,Ecuador,Ecuador
Amatller (Simon Coll),Ecuador,Ecuador,2009,85%,Spain,2.75,Ecuador,Ecuador
Amatller (Simon Coll),Ghana,Ghana,2009,85%,Spain,3.0,Ghana,Ghana
Amazona,"LamasdelChanka, San Martin, Oro Verde coop",Peru,2013,72%,Peru,3.25,"LamasdelChanka, San Martin, Oro Verde coop",Peru
Amazona,"Bellavista Gran Pajeten, San Martin",Peru,2013,73%,Peru,3.5,"Bellavista Gran Pajeten, San Martin",Peru
Ambrosia,Belize,Belize,2015,64%,Canada,3.0,Belize,Belize
Ambrosia,Madagascar,Madagascar,2015,66%,Canada,3.25,Madagascar,Madagascar
Ambrosia,Dominican Republic,Dominican Republic,2015,75%,Canada,3.25,Dominican Republic,Dominican Republic
Ambrosia,Papua New Guinea,Papua New Guinea,2015,63%,Canada,3.25,Papua New Guinea,Papua New Guinea
Ambrosia,Venezuela,Venezuela,2015,70%,Canada,3.25,Venezuela,Venezuela
Ambrosia,Peru,Peru,2015,68%,Canada,3.5,Peru,Peru
Amedei,"Piura, Blanco de Criollo",Peru,2012,70%,Italy,3.75,"Piura, Blanco de Criollo",Peru
Amedei,Porcelana,Venezuela,2007,70%,Italy,4.0,Porcelana,Venezuela
Amedei,Chuao,Venezuela,2007,70%,Italy,5.0,Chuao,Venezuela
Amedei,Ecuador,Ecuador,2007,70%,Italy,3.0,Ecuador,Ecuador
Amedei,Jamaica,Jamaica,2007,70%,Italy,3.0,Jamaica,Jamaica
Amedei,Grenada,Grenada,2007,70%,Italy,3.5,Grenada,Grenada
Amedei,Venezuela,Venezuela,2007,70%,Italy,3.75,Venezuela,Venezuela
Amedei,Madagascar,Madagascar,2007,70%,Italy,4.0,Madagascar,Madagascar
Amedei,Trinidad,Trinidad,2007,70%,Italy,3.5,Trinidad,Trinidad
AMMA,Catongo,Brazil,2013,75%,Brazil,3.25,Catongo,Brazil
AMMA,"Monte Alegre, 3 diff. plantations",Brazil,2010,85%,Brazil,2.75,"Monte Alegre, 3 diff. plantations",Brazil
AMMA,"Monte Alegre, 3 diff. plantations",Brazil,2010,50%,Brazil,3.75,"Monte Alegre, 3 diff. plantations",Brazil
AMMA,"Monte Alegre, 3 diff. plantations",Brazil,2010,75%,Brazil,3.75,"Monte Alegre, 3 diff. plantations",Brazil
AMMA,"Monte Alegre, 3 diff. plantations",Brazil,2010,60%,Brazil,4.0,"Monte Alegre, 3 diff. plantations",Brazil
Anahata,Elvesia,Dominican Republic,2014,75%,U.S.A.,3.0,Elvesia,Dominican Republic
Animas,Alto Beni,Bolivia,2016,75%,U.S.A.,3.5,Alto Beni,Bolivia
Ara,Madagascar,Madagascar,2014,75%,France,3.0,Madagascar,Madagascar
Ara,Chiapas,Mexico,2014,72%,France,2.5,Chiapas,Mexico
Ara,Equateur,Ecuador,2014,75%,France,2.75,Equateur,Ecuador
Ara,Trincheras,Venezuela,2014,75%,France,3.0,Trincheras,Venezuela
Arete,San Juan,Trinidad,2016,70%,U.S.A.,3.5,San Juan,Trinidad
Arete,Kokoa Kamili,Tanzania,2016,70%,U.S.A.,3.75,Kokoa Kamili,Tanzania
Arete,Tien Giang,Vietnam,2016,73%,U.S.A.,3.5,Tien Giang,Vietnam
Arete,Hacienda Victoria,Ecuador,2016,70%,U.S.A.,3.25,Hacienda Victoria,Ecuador
Arete,Costa Esmeraldas,Ecuador,2016,70%,U.S.A.,3.25,Costa Esmeraldas,Ecuador
Arete,Lachua,Guatemala,2016,70%,U.S.A.,3.5,Lachua,Guatemala
Arete,Rugoso,Nicaragua,2016,70%,U.S.A.,3.75,Rugoso,Nicaragua
Arete,"La Masica, FHIA",Honduras,2016,70%,U.S.A.,3.5,"La Masica, FHIA",Honduras
Arete,"Coto Brus, Terciopelo",Costa Rica,2016,70%,U.S.A.,4.0,"Coto Brus, Terciopelo",Costa Rica
Arete,Phantom,Peru,2016,70%,U.S.A.,4.0,Phantom,Peru
Arete,Elvesia,Dominican Republic,2016,70%,U.S.A.,3.75,Elvesia,Dominican Republic
Arete,Matasawalevu,Fiji,2016,70%,U.S.A.,3.25,Matasawalevu,Fiji
Arete,Lam Dong,Vietnam,2016,73%,U.S.A.,3.25,Lam Dong,Vietnam
Arete,Fazenda Camboa,Brazil,2015,70%,U.S.A.,3.5,Fazenda Camboa,Brazil
Arete,Nacional,Peru,2015,68%,U.S.A.,3.5,Nacional,Peru
Arete,"Puerto Quito, heirloom",Ecuador,2015,70%,U.S.A.,3.75,"Puerto Quito, heirloom",Ecuador
Arete,Oko Caribe,Domincan Republic,2015,70%,U.S.A.,3.5,Oko Caribe,Domincan Republic
Arete,Maya Mountain,Belize,2015,70%,U.S.A.,3.75,Maya Mountain,Belize
Arete,Chuno,Nicaragua,2015,70%,U.S.A.,4.0,Chuno,Nicaragua
Arete,Fazenda Camboa,Brazil,2015,75%,U.S.A.,2.75,Fazenda Camboa,Brazil
Arete,Guatemala,Guatemala,2015,70%,U.S.A.,3.25,Guatemala,Guatemala
Arete,Camino Verde,Ecuador,2015,75%,U.S.A.,3.5,Camino Verde,Ecuador
Artisan du Chocolat,"Trinidad, Heritage, Limited ed.",Trinidad,2013,72%,U.K.,3.25,"Trinidad, Heritage, Limited ed.",Trinidad
Artisan du Chocolat,"Colombia, Casa Luker",Colombia,2012,72%,U.K.,3.75,"Colombia, Casa Luker",Colombia
Artisan du Chocolat,Haiti,Haiti,2011,72%,U.K.,4.0,Haiti,Haiti
Artisan du Chocolat,Panama,Panama,2011,72%,U.K.,2.75,Panama,Panama
