id,company,specific_bean_origin,review_date,cocoa_percent,company_location,rating,bean_type,bean_origin_country
0,A. Morin,Agua Grande,2016,63%,France,3.75,,Sao Tome
1,A. Morin,Kpime,2015,70%,France,2.75,,Togo
2,A. Morin,Atsane,2015,70%,France,3.0,,Togo
3,A. Morin,Akata,2015,70%,France,3.5,,Togo
4,A. Morin,Quilla,2015,70%,France,3.5,,Peru
5,A. Morin,Carenero,2014,70%,France,2.75,Criollo,Venezuela
6,A. Morin,Cuba,2014,70%,France,3.5,,Cuba
7,A. Morin,Sur del Lago,2014,70%,France,3.5,Criollo,Venezuela
8,A. Morin,Puerto Cabello,2014,70%,France,3.75,Criollo,Venezuela
9,A. Morin,Pablino,2014,70%,France,4.0,,Peru
10,A. Morin,Panama,2013,70%,France,2.75,,Panama
11,A. Morin,Madagascar,2013,70%,France,3.0,Criollo,Madagascar
12,A. Morin,Brazil,2013,70%,France,3.25,,Brazil
13,A. Morin,Equateur,2013,70%,France,3.75,,Ecuador
14,A. Morin,Colombie,2013,70%,France,2.75,,Colombia
15,A. Morin,Birmanie,2013,70%,France,3.0,,Burma
16,A. Morin,Papua New Guinea,2013,70%,France,3.25,,Papua New Guinea
17,A. Morin,Chuao,2013,70%,France,4.0,Trinitario,Venezuela
18,A. Morin,Piura,2013,70%,France,3.25,,Peru
19,A. Morin,Chanchamayo Province,2013,70%,France,3.5,,Peru
20,A. Morin,Chanchamayo Province,2013,63%,France,4.0,,Peru
21,A. Morin,Bolivia,2012,70%,France,3.5,,Bolivia
22,A. Morin,Peru,2012,63%,France,3.75,,Peru
23,Acalli,"Chulucanas, El Platanal",2015,70%,U.S.A.,3.75,,Peru
24,Acalli,"Tumbes, Norandino",2015,70%,U.S.A.,3.75,Criollo,Peru
25,Adi,Vanua Levu,2011,60%,Fiji,2.75,Trinitario,Fiji
26,Adi,"Vanua Levu, Toto-A",2011,80%,Fiji,3.25,Trinitario,Fiji
27,Adi,Vanua Levu,2011,88%,Fiji,3.5,Trinitario,Fiji
28,Adi,"Vanua Levu, Ami-Ami-CA",2011,72%,Fiji,3.5,Trinitario,Fiji
29,Aequare (Gianduja),"Los Rios, Quevedo, Arriba",2009,55%,Ecuador,2.75,Forastero (Arriba),Ecuador
30,Aequare (Gianduja),"Los Rios, Quevedo, Arriba",2009,70%,Ecuador,3.0,Forastero (Arriba),Ecuador
31,Ah Cacao,Tabasco,2009,70%,Mexico,3.0,Criollo,Mexico
32,Akesson's (Pralus),"Bali (west), Sukrama Family, Melaya area",2011,75%,Switzerland,3.75,Trinitario,Indonesia
33,Akesson's (Pralus),"Madagascar, Ambolikapiky P.",2010,75%,Switzerland,2.75,Criollo,Madagascar
34,Akesson's (Pralus),"Monte Alegre, D. Badero",2010,75%,Switzerland,2.75,Forastero,Brazil
35,Alain Ducasse,Trinite,2014,65%,France,2.75,Trinitario,Trinidad
36,Alain Ducasse,Vietnam,2014,75%,France,2.75,Trinitario,Vietnam
37,Alain Ducasse,Madagascar,2014,75%,France,3.0,Trinitario,Madagascar
38,Alain Ducasse,Chuao,2013,75%,France,2.5,Trinitario,Venezuela
39,Alain Ducasse,"Piura, Perou",2013,75%,France,2.5,,Peru
40,Alexandre,"Winak Coop, Napo",2017,70%,Netherlands,3.5,Forastero (Nacional),Ecuador
41,Alexandre,"La Dalia, Matagalpa",2017,70%,Netherlands,3.5,"Criollo, Trinitario",Nicaragua
42,Alexandre,Tien Giang,2017,70%,Netherlands,3.5,Trinitario,Vietnam
43,Alexandre,"Makwale Village, Kyela",2017,70%,Netherlands,3.5,Forastero,Tanzania
44,Altus aka Cao Artisan,Momotombo,2016,60%,U.S.A.,2.75,,Nicaragua
45,Altus aka Cao Artisan,Acopagro,2016,60%,U.S.A.,3.0,,Peru
46,Altus aka Cao Artisan,CIAAB Coop,2016,60%,U.S.A.,2.5,,Bolivia
47,Altus aka Cao Artisan,Villa Andina,2016,60%,U.S.A.,2.5,,Peru
48,Altus aka Cao Artisan,Gruppo Salinas,2016,60%,U.S.A.,2.75,,Ecuador
49,Altus aka Cao Artisan,Sur del Lago,2013,60%,U.S.A.,2.5,,Venezuela
50,Altus aka Cao Artisan,Conacado,2013,60%,U.S.A.,3.0,Trinitario,Dominican Republic
51,Altus aka Cao Artisan,Bolivia,2013,80%,U.S.A.,3.25,,Bolivia
52,Altus aka Cao Artisan,Bolivia,2013,60%,U.S.A.,3.0,,Bolivia
