company,specific_bean_origin,review_date,cocoa_percent,company_location,rating,bean_type,bean_origin_country
A. Morin,Carenero,2014,70%,France,2.75,Criollo,Venezuela
A. Morin,Sur del Lago,2014,70%,France,3.5,Criollo,Venezuela
A. Morin,Puerto Cabello,2014,70%,France,3.75,Criollo,Venezuela
A. Morin,Madagascar,2013,70%,France,3,Criollo,Madagascar
A. Morin,Chuao,2013,70%,France,4,Trinitario,Venezuela
Acalli,"Tumbes, Norandino",2015,70%,U.S.A.,3.75,Criollo,Peru
Adi,Vanua Levu,2011,60%,Fiji,2.75,Trinitario,Fiji
Adi,"Vanua Levu, Toto-A",2011,80%,Fiji,3.25,Trinitario,Fiji
Adi,Vanua Levu,2011,88%,Fiji,3.5,Trinitario,Fiji
Adi,"Vanua Levu, Ami-Ami-CA",2011,72%,Fiji,3.5,Trinitario,Fiji
Aequare (Gianduja),"Los Rios, Quevedo, Arriba",2009,55%,Ecuador,2.75,Forastero (Arriba),Ecuador
Aequare (Gianduja),"Los Rios, Quevedo, Arriba",2009,70%,Ecuador,3,Forastero (Arriba),Ecuador
Ah Cacao,Tabasco,2009,70%,Mexico,3,Criollo,Mexico
Akesson's (Pralus),"Bali (west), Sukrama Family, Melaya area",2011,75%,Switzerland,3.75,Trinitario,Indonesia
Akesson's (Pralus),"Madagascar, Ambolikapiky P.",2010,75%,Switzerland,2.75,Criollo,Madagascar
Akesson's (Pralus),"Monte Alegre, D. Badero",2010,75%,Switzerland,2.75,Forastero,Brazil
Alain Ducasse,Trinite,2014,65%,France,2.75,Trinitario,Trinidad
Alain Ducasse,Vietnam,2014,75%,France,2.75,Trinitario,Vietnam
Alain Ducasse,Madagascar,2014,75%,France,3,Trinitario,Madagascar
Alain Ducasse,Chuao,2013,75%,France,2.5,Trinitario,Venezuela
Alexandre,"Winak Coop, Napo",2017,70%,Netherlands,3.5,Forastero (Nacional),Ecuador
Alexandre,"La Dalia, Matagalpa",2017,70%,Netherlands,3.5,"Criollo, Trinitario",Nicaragua
Alexandre,Tien Giang,2017,70%,Netherlands,3.5,Trinitario,Vietnam
Alexandre,"Makwale Village, Kyela",2017,70%,Netherlands,3.5,Forastero,Tanzania
Altus aka Cao Artisan,Conacado,2013,60%,U.S.A.,3,Trinitario,Dominican Republic
Amano,Chuao,2010,70%,U.S.A.,3,Trinitario,Venezuela
Amano,Madagascar,2007,70%,U.S.A.,3.5,Trinitario,Madagascar
Amano,Ocumare,2007,70%,U.S.A.,3.75,Criollo,Venezuela
Amatller (Simon Coll),Ghana,2009,70%,Spain,3,Forastero,Ghana
Amatller (Simon Coll),Ghana,2009,85%,Spain,3,Forastero,Ghana
Amazona,"Bellavista Gran Pajeten, San Martin",2013,73%,Peru,3.5,Trinitario,Peru
Ambrosia,Belize,2015,64%,Canada,3,Trinitario,Belize
Ambrosia,Madagascar,2015,66%,Canada,3.25,Trinitario,Madagascar
Amedei,Porcelana,2007,70%,Italy,4,Criollo (Porcelana),Venezuela
Amedei,Chuao,2007,70%,Italy,5,Trinitario,Venezuela
Amedei,Ecuador,2007,70%,Italy,3,Trinitario,Ecuador
Amedei,Jamaica,2007,70%,Italy,3,Trinitario,Jamaica
Amedei,Grenada,2007,70%,Italy,3.5,Trinitario,Grenada
Amedei,Venezuela,2007,70%,Italy,3.75,Trinitario (85% Criollo),Venezuela
Amedei,Madagascar,2007,70%,Italy,4,Trinitario (85% Criollo),Madagascar
Amedei,Trinidad,2007,70%,Italy,3.5,Trinitario,Trinidad
AMMA,Catongo,2013,75%,Brazil,3.25,Forastero (Catongo),Brazil
AMMA,"Monte Alegre, 3 diff. plantations",2010,85%,Brazil,2.75,Forastero (Parazinho),Brazil
AMMA,"Monte Alegre, 3 diff. plantations",2010,50%,Brazil,3.75,Forastero (Parazinho),Brazil
AMMA,"Monte Alegre, 3 diff. plantations",2010,75%,Brazil,3.75,Forastero (Parazinho),Brazil
AMMA,"Monte Alegre, 3 diff. plantations",2010,60%,Brazil,4,Forastero (Parazinho),Brazil
Ara,Madagascar,2014,75%,France,3,Trinitario,Madagascar
Arete,San Juan,2016,70%,U.S.A.,3.5,Trinitario,Trinidad
Arete,Tien Giang,2016,73%,U.S.A.,3.5,Trinitario,Vietnam
Arete,Phantom,2016,70%,U.S.A.,4,Forastero (Nacional),Peru
Arete,Nacional,2015,68%,U.S.A.,3.5,Forastero (Nacional),Peru
Arete,"Puerto Quito, heirloom",2015,70%,U.S.A.,3.75,Forastero (Nacional),Ecuador
Arete,Maya Mountain,2015,70%,U.S.A.,3.75,Trinitario,Belize
Arete,Chuno,2015,70%,U.S.A.,4,"Criollo, Trinitario",Nicaragua
Artisan du Chocolat,"Trinidad, Heritage, Limited ed.",2013,72%,U.K.,3.25,Trinitario,Trinidad
Artisan du Chocolat,Jamaica,2010,72%,U.K.,3.75,Trinitario,Jamaica
Artisan du Chocolat,Ba Ria Vung Tau Province,2010,72%,U.K.,3.25,Trinitario,Vietnam
